Attribute,Description,Valid Values,Requires,Required,Source,Parent,Properties,Requires Component,Validation Rules
chemical structure,A representation of the arrangement of atoms and bonds. ; [http://purl.obolibrary.org/obo/NCIT_C103240],,,FALSE,,chemicalDataType,,,
chemical hashed fingerprint,The chemical hashed fingerprint of a molecule is bit string (a sequence of 0 and 1 digits) that contains information on the structure.; [https://docs.chemaxon.com/display/docs/Chemical+Hashed+Fingerprint],,,FALSE,,chemicalDataType,,,
complex database,A database with several types of chemical data; [Sage Bionetworks],,,FALSE,,chemicalDataType,,,
chemical identifier,A chemical identifier is an identifier for a chemical entity; [http://semanticscience.org/resource/SIO_000728],,,FALSE,,chemicalDataType,,,
chemicalDataType,The type of chemical data in the dataset.,"target, chemical structure, chemical hashed fingerprint, complex database, chemical identifier",,TRUE,,chem,,,
standard,"Considers paths of a given length. These are hashed fingerprints, with a default length of 1024.; [https://www.rdocumentation.org/packages/rcdk/versions/3.4.5/topics/get.fingerprint]",,,FALSE,,fingerprintType,,,
extended,"Similar to the standard type, but takes rings and atomic properties into account into account.; [https://www.rdocumentation.org/packages/rcdk/versions/3.4.5/topics/get.fingerprint]",,,FALSE,,fingerprintType,,,
maccs,The popular 166 bit MACCS keys described by MDL.; [https://www.rdocumentation.org/packages/rcdk/versions/3.4.5/topics/get.fingerprint],,,FALSE,,fingerprintType,,,
pubchem,881 bit fingerprints defined by PubChem.; [https://www.rdocumentation.org/packages/rcdk/versions/3.4.5/topics/get.fingerprint],,,FALSE,,fingerprintType,,,
kr,4860 bit fingerprint defined by Klekota and Roth.; [https://www.rdocumentation.org/packages/rcdk/versions/3.4.5/topics/get.fingerprint],,,FALSE,,fingerprintType,,,
circular,An implementation of the ECFP6 fingerprint.; [https://www.rdocumentation.org/packages/rcdk/versions/3.4.5/topics/get.fingerprint],,,FALSE,,fingerprintType,,,
fingerprintType,The type of chemical fingerprint used.,"standard, extended, maccs, pubchem, kr, circular",,TRUE,,chem,,,
SMILES,Specification for unambiguously describing the structure of a chemical compound using a short ASCII string.; [http://purl.obolibrary.org/obo/MS_1000868],,,FALSE,,structureFormat,,,
InChI,A textual identifier for chemical substances designed to provide a standard and human-readable way to encode molecular information that also facilitates searches in printed and electronic data sources.; [http://purl.obolibrary.org/obo/NCIT_C54683],,,FALSE,,structureFormat,,,
SDF,SDF is one of a family of chemical-data file formats developed by MDL Information Systems; it is intended especially for structural information.; [http://edamontology.org/format_3814],,,FALSE,,structureFormat,,,
structureFormat,The chemical structural representation used.,"SMILES, InChI, SDF",,TRUE,,chem,,,
singleMolecule,An experiment in which a single molecule was used in an assay,,,FALSE,,drugScreenType,,,
smallMoleculeLibraryScreen,"High throughput sample analysis of small molecules for purpose such as drug discovery, or biochemical, genetic or pharmacological tests.; [ http://purl.obolibrary.org/obo/ERO_0001726]",,,FALSE,,drugScreenType,,,
combinationLibraryScreen,High throughput sample analysis of collections of compounds that provide a variety of chemically diverse structures that can be used to identify structure types that have affinity with pharmacological targets.; [http://purl.obolibrary.org/obo/ERO_0001686],,,FALSE,,drugScreenType,,,
combinationScreen,,,,FALSE,,drugScreenType,,,
drugScreenType,String describing general class of drug screen,"singleMolecule, smallMoleculeLibraryScreen, combinationLibraryScreen, combinationScreen",,FALSE,,compoundScreen,,,
compoundScreen,,,,FALSE,,,,,
curatedData,,,,FALSE,,,,,
reference sequence,Syntactic sequences that has a role as reference of an annotation.; [http://rdf.biosemantics.org/ontologies/rsa#ReferenceSequence],,,FALSE,,curatedDataType,,,
gene symbol,A unique gene name approved by an organism specific nomenclature committee.; [http://purl.obolibrary.org/obo/NCIT_C43568],,,FALSE,,curatedDataType,,,
clinical data,Data obtained through patient examination or treatment.; [http://purl.obolibrary.org/obo/NCIT_C15783],,,FALSE,,curatedDataType,,,
gene function,A term that expresses the function of a gene product.; [http://purl.obolibrary.org/obo/NCIT_C48933],,,FALSE,,curatedDataType,,,
chemical descriptor,"A chemical descriptor is a data item (quantity or value) about a chemical entity that conforms to a specification for how it is calculated, measured or recorded.; [http://semanticscience.org/resource/CHEMINF_000123]",,,FALSE,,curatedDataType,,,
curatedDataType,The type of information being curated.,"reference sequence, gene symbol, clinical data, gene function, chemical descriptor",,TRUE,,curatedData,,,
GRCh38,Genome Reference Consortium Human Build 38; [https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26],,,FALSE,,referenceSet,,,
GRCh37,Genome Reference Consortium Human Build 37; [https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.13/],,,FALSE,,referenceSet,,,
MMUL1.0,Ensembl preliminary assembly Macaca mulatta; [https://jul2016.archive.ensembl.org/Macaca_mulatta/Info/Index],,,FALSE,,referenceSet,,,
HRC,Human haplotype reference panel; [http://www.haplotype-reference-consortium.org],,,FALSE,,referenceSet,,,
referenceSet,"A set of references (e.g., canonical assembled contigs) which defines a common coordinate space for comparing reference-aligned experimental data.","GRCh38, GRCh37, MMUL1.0, HRC",,TRUE,,curatedData,,,
dhart,,,,FALSE,,,,,
Project 1,The Plexiform NF project led,,,FALSE,,projectNumber,,,
Project 2,The MPNST project,,,FALSE,,projectNumber,,,
Project 3,The JMML project,,,FALSE,,projectNumber,,,
Project 4,The NF1 survivor project,,,FALSE,,projectNumber,,,
projectNumber,There are four projects on going in the spore. This describes for which one the data was collected.,"Project 1, Project 2, Project 3, Project 4",,TRUE,,dhart,,,
array,,,,FALSE,,,,,
Cy5,Fluorescent dye used for the red channel on an array; [http://purl.obolibrary.org/obo/FBbi_00000450],,,FALSE,,channel,,,
Cy3,Fluorescent dye used for the green channel on an array; [http://purl.obolibrary.org/obo/FBbi_00000449],,,FALSE,,channel,,,
channel,Fluorescent color labeling for an array,"Cy5, Cy3",,TRUE,,array,,,
sageCommunity,,,,FALSE,,,,,
experimentalData,"Any file derived from or pertaining to a scientific experiment. experimentalData annotations should be applied, possibly disease-related; [Sage Bionetworks]",,"dataType,dataSubtype,specimenID,individualID,species, diagnosis,isCellLine,sex,tissue,tumorType,nf1Genotype,nf2Genotype,genePerturbationType,genePerturbed,experimentalCondition,experimentalTimepoint,timePointUnit",FALSE,,resourceType,,,
curatedData,"Any file derived from or pertaining a manually or programatically curated data resource. Examples include: reference sequences, drug information databases, identifier maps; [Sage Bionetworks]",,,FALSE,,resourceType,,,
analysis,"Any file derived from analysis such that the analysis annotations might apply, possibly disease-related; [Sage Bionetworks]",,,FALSE,,resourceType,,,
tool,"Any file or link that represents a tool, model, or algorithm; the tool annotations could be applied; [Sage Bionetworks]",,,FALSE,,resourceType,,,
report,"a document assembled by an author for the purpose of providing information for the audience. A report is the output of a documenting process and has the objective to be consumed by a specific audience. Topic of the report is on something that has completed. A report is not a single figure. Examples of reports are journal article, patent application, grant progress report, case report (not patient record).; [http://purl.obolibrary.org/obo/IAO_0000088]",,,FALSE,,resourceType,,,
resourceType,The type of resource being stored and annotated,"experimentalData, curatedData, analysis, tool, report",,TRUE,,sageCommunity,,,
CTF,Childrens' Tumor Foundation; [http://www.ctf.org],,,FALSE,,fundingAgency,,,
NIH-NCI,National Institutes of Health - National Cancer Institute; [https://www.cancer.gov],,,FALSE,,fundingAgency,,,
NTAP,Neurofibromatosis Therapeutic Acceleration Program; [http://www.n-tap.org],,,FALSE,,fundingAgency,,,
NIH-NIA,National Institutes of Health - National Institute of Aging; [https://www.nia.nih.gov],,,FALSE,,fundingAgency,,,
NIH-NIMH,National Institutes of Health - National Institute of Mental Health; [https://www.nimh.nih.gov],,,FALSE,,fundingAgency,,,
AACR,American Association for Cancer Research; [http://www.aacr.org],,,FALSE,,fundingAgency,,,
fundingAgency,The organization providing financial support for generation of this data.,"CTF, NIH-NCI, NTAP, NIH-NIA, NIH-NIMH, AACR",,TRUE,,sageCommunity,,,
Synodos,Data derived from a CTF-Funded Synodos project; [https://www.synapse.org/ctf],,,FALSE,,consortium,,,
DHART SPORE,Data from the D-HART SPORE; [http://www.synapse.org/dhart],,,FALSE,,consortium,,,
consortium,The name of the consortium,"Synodos, DHART SPORE, Not Applicable",,TRUE,,sageCommunity,,,
bash script,Bash Shell Script; [https://en.wikipedia.org/wiki/Shell_script],,,FALSE,,fileFormat,,,
bedgraph,Holds a tab-delimited chromosome /start /end / datavalue dataset. The bedGraph format allows display of continuous-valued data in track format. This display type is useful for probability scores and transcriptome data; [http://edamontology.org/format_3583],,,FALSE,,fileFormat,,,
idx,,,,FALSE,,fileFormat,,,
idat,Proprietary file format for (raw) BeadArray data used by genomewide profiling platforms from Illumina Inc. This format is output directly from the scanner and stores summary intensities for each probe-type on an array.; [http://edamontology.org/format_3578],,,FALSE,,fileFormat,,,
bam,"BAM format, the binary, BGZF-formatted compressed version of SAM format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s); [http://edamontology.org/format_2572]",,,FALSE,,fileFormat,,,
bai,BAM indexing format; [http://edamontology.org/format_3327],,,FALSE,,fileFormat,,,
excel,Microsoft Excel spreadsheet format,,,FALSE,,fileFormat,,,
powerpoint,Microsoft Powerpoint slide format,,,FALSE,,fileFormat,,,
tif,"Tagged Image File Format, abbreviated TIFF or TIF, is a computer file format for storing raster graphics images; [https://en.wikipedia.org/wiki/TIFF]",,,FALSE,,fileFormat,,,
png,PNG is a file format for image compression; [http://edamontology.org/format_3603],,,FALSE,,fileFormat,,,
doc,Microsoft Word document format,,,FALSE,,fileFormat,,,
pdf,Portable Document Format; [http://edamontology.org/format_3508],,,FALSE,,fileFormat,,,
hdf,"Hierarchical Data Format (HDF) is a set of file formats (HDF4, HDF5) designed to store and organize large amounts of data; [https://en.wikipedia.org/wiki/Hierarchical_Data_Format]",,,FALSE,,fileFormat,,,
fasta,"FASTA format is a text-based format for representing either nucleotide sequences or peptide sequences, in which nucleotides or amino acids are represented using single-letter codes; [https://en.wikipedia.org/wiki/FASTA_format]",,,FALSE,,fileFormat,,,
fastq,FASTQ format is a text-based format for storing both a biological sequence (usually nucleotide sequence) and its corresponding quality scores. Both the sequence letter and quality score are each encoded with a single ASCII character for brevity; [https://en.wikipedia.org/wiki/FASTQ_format],,,FALSE,,fileFormat,,,
sam,Sequence Alignment/Map (SAM) format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s); [http://edamontology.org/format_2573],,,FALSE,,fileFormat,,,
vcf,"Variant Call Format (VCF) for sequence variation (indels, polymorphisms, structural variation); [http://edamontology.org/format_3016]",,,FALSE,,fileFormat,,,
bcf,"BCF, the binary version of Variant Call Format (VCF) for sequence variation (indels, polymorphisms, structural variation); [http://edamontology.org/format_3016]",,,FALSE,,fileFormat,,,
maf,"Multiple Alignment Format (MAF) supporting alignments of whole genomes with rearrangements, directions, multiple pieces to the alignment, and so forth; [http://edamontology.org/format_3008]",,,FALSE,,fileFormat,,,
bed,"Browser Extensible Data (BED) format of sequence annotation track, typically to be displayed in a genome browser; [http://edamontology.org/format_3003]",,,FALSE,,fileFormat,,,
chp,CHP file contains probe set analysis results generated from Affymetrix software,,,FALSE,,fileFormat,,,
cel,Format of Affymetrix data file of information about (raw) expression levels of the individual probes; [http://edamontology.org/format_1638],,,FALSE,,fileFormat,,,
sif,SIF (simple interaction file) Format - a network/pathway format used for instance in cytoscape; [http://edamontology.org/format_3619],,,FALSE,,fileFormat,,,
tsv,Tabular data represented as tab-separated values in a text file; [http://edamontology.org/format_3475],,,FALSE,,fileFormat,,,
csv,Tabular data represented as comma-separated values in a text file; [http://edamontology.org/format_3752],,,FALSE,,fileFormat,,,
txt,Textual format; [http://edamontology.org/format_2330],,,FALSE,,fileFormat,,,
plink,Any Plink file format (MAP/PED/BED/BIM/FAM); [https://www.cog-genomics.org/plink2/formats],,,FALSE,,fileFormat,,,
bigwig,bigWig format for large sequence annotation tracks that consist of a value for each sequence position; [http://edamontology.org/format_3006],,,FALSE,,fileFormat,,,
wiggle,Wiggle format (WIG) of a sequence annotation track that consists of a value for each sequence position; [http://edamontology.org/format_3005],,,FALSE,,fileFormat,,,
gct,"Tab-delimited text files of GenePattern that contain a column for each sample, a row for each gene, and an expression value for each gene in each sample; [http://edamontology.org/format_3709]",,,FALSE,,fileFormat,,,
bgzip,Blocked GNU Zip format; [http://edamontology.org/format_3615],,,FALSE,,fileFormat,,,
zip,zip is a format standard of a digital entity that is conformant with the PKWARE .ZIP file format specification; [http://purl.obolibrary.org/obo/OBI_0000325],,,FALSE,,fileFormat,,,
seg,SEG file (segmented data; .seg or .cbs) is a tab-delimited text file that lists loci and associated numeric values; [https://software.broadinstitute.org/software/igv/SEG],,,FALSE,,fileFormat,,,
html,HTML format; [http://edamontology.org/format_2331],,,FALSE,,fileFormat,,,
mov,A video file format with the .mov extension; [Sage Bioenetworks],,,FALSE,,fileFormat,,,
hyperlink,"A reference (link) from some point in one hypertext document to another document, another place in the same document, or a website.; [http://purl.obolibrary.org/obo/NCIT_C47919]",,,FALSE,,fileFormat,,,
svs,"A single-file pyramidal tiled TIFF, with non-standard metadata and compression.; [https://openslide.org/formats/aperio/]",,,FALSE,,fileFormat,,,
md,Markdown (MD) is a lightweight markup language with plain text formatting syntax; [https://en.wikipedia.org/wiki/Markdown],,,FALSE,,fileFormat,,,
flagstat,Output of samtools flagstat tool,,,FALSE,,fileFormat,,,
gtf,Gene transfer format (GTF) is a file format used to hold information about gene structure; [https://en.wikipedia.org/wiki/Gene_transfer_format],,,FALSE,,fileFormat,,,
raw,Proprietary file format for mass spectrometry data from Thermo Scientific; [http://edamontology.org/format_3712],,,FALSE,,fileFormat,,,
msf,Proprietary mass-spectrometry format of Thermo Scientific's ProteomeDiscoverer software; [http://edamontology.org/format_3702],,,FALSE,,fileFormat,,,
rmd,markdown document specific to r analyses; [http://rmarkdown.rstudio.com/developer_document_templates.html],,,FALSE,,fileFormat,,,
bed narrowPeak,"This format is used to provide called peaks of signal enrichment based on pooled, normalized (interpreted) data. It is a BED6+4 format.; [http://genome.ucsc.edu/FAQ/FAQformat.html#format12]",,,FALSE,,fileFormat,,,
bed broadPeak,"This format is used to provide called regions of signal enrichment based on pooled, normalized (interpreted) data. It is a BED 6+3 format.; [http://genome.ucsc.edu/FAQ/FAQformat.html#format13]",,,FALSE,,fileFormat,,,
bed gappedPeak,"This format is used to provide called regions of signal enrichment based on pooled, normalized (interpreted) data where the regions may be spliced or incorporate gaps in the genomic sequence. It is a BED12+3 format.; [http://genome.ucsc.edu/FAQ/FAQformat.html#format14]",,,FALSE,,fileFormat,,,
avi,AVI files can contain both audio and video data in a file container that allows synchronous audio-with-video playback.; [https://en.wikipedia.org/wiki/Audio_Video_Interleave],,,FALSE,,fileFormat,,,
pzfx,"A PZFX file is a Prism project created by GraphPad Prism, a scientific application used to analyze and graph data. It contains project data including graphs and layouts, notes, and tables.; [https://fileinfo.com/extension/pzfx]",,,FALSE,,fileFormat,,,
fig,"Line drawing saved in the Xfig format; stored as a vector image that may include lines, shapes, arcs, splines, arrows, and text objects; may also include images, colors, and patterns.; [https://fileinfo.com/extension/fig]",,,FALSE,,fileFormat,,,
xml,eXtensible Markup Language (XML) format.; [http://edamontology.org/format_2332],,,FALSE,,fileFormat,,,
tar,tape archive; [https://en.wikipedia.org/wiki/Tar_(computing)],,,FALSE,,fileFormat,,,
R script,R Script; [Sage Bionetworks],,,FALSE,,fileFormat,,,
abf,The Axon™ Binary File format (ABF) was created for the storage of binary experimental data.; [https://mdc.custhelp.com/euf/assets/content/ABFHelp.pdf],,,FALSE,,fileFormat,,,
bpm,A beaded pool manifest. Describe the SNP or probe content on a BeadChip or in an assay pool.; [https://support.illumina.com/datafiles.html],,,FALSE,,fileFormat,,,
dat,Format of Affymetrix data file of raw image data.; [http://edamontology.org/format_1637],,,FALSE,,fileFormat,,,
jpg,Joint Picture Group file format for lossy graphics file.; [http://edamontology.org/format_3579],,,FALSE,,fileFormat,,,
locs,Illumina iScan bead location file.; [https://support.illumina.com/content/dam/illumina-support/documents/documentation/system_documentation/iscan/iscan-system-guide-11313539-01.pdf],,,FALSE,,fileFormat,,,
Sentrix descriptor file,A BeadScan specific file needed to perform scan setting checks for different array formats and assay type.; [https://support.illumina.com/content/dam/illumina-support/documents/myillumina/dd0aff11-2664-481b-a8ce-26831a907cae/beadscan_3.0_software_addendum.pdf],,,FALSE,,fileFormat,,,
Python script,"Python is an interpreted, object-oriented, high-level programming language with dynamic semantics.; [https://www.python.org/doc/essays/blurb/]",,,FALSE,,fileFormat,,,
sav,"The SPSS Statistics File Format is a proprietary binary format, developed and maintained as the native format for the SPSS statistical software application.; [https://www.loc.gov/preservation/digital/formats/fdd/fdd000469.shtml]",,,FALSE,,fileFormat,,,
gzip,GZipped format; [http://purl.obolibrary.org/obo/NCIT_C80220],,,FALSE,,fileFormat,,,
sdf,SDF is one of a family of chemical-data file formats developed by MDL Information Systems; it is intended especially for structural information.; [http://edamontology.org/format_3814],,,FALSE,,fileFormat,,,
RData,"The RData format (usually with extension .rdata or .rda) is a format designed for use with R, a system for statistical computation and related graphics, for storing a complete R workspace or selected 'objects' from a workspace in a form that can be loaded back by R.; [https://www.loc.gov/preservation/digital/formats/fdd/fdd000470.shtml]",,,FALSE,,fileFormat,,,
hic,Hi-C contact matrix file; [https://github.com/theaidenlab/juicer/wiki/Data],,,FALSE,,fileFormat,,,
ab1,TAB1 binary format of raw DNA sequence reads (output of Applied Biosystems' sequencing analysis software). Contains an electropherogram and the DNA base sequence.; [http://edamontology.org/format_3000],,,FALSE,,fileFormat,,,
7z,"A compressed archive file format that supports several different data compression, encryption and pre-processing filters.; [http://purl.obolibrary.org/obo/NCIT_C80224]",,,FALSE,,fileFormat,,,
gff3,Generic Feature Format version 3 (GFF3) of sequence features.; [http://edamontology.org/format_1975],,,FALSE,,fileFormat,,,
json,"JavaScript Object Notation format; a lightweight, text-based format to represent tree-structured data using key-value pairs.; [http://edamontology.org/format_3464]",,,FALSE,,fileFormat,,,
sqlite,Data format used by the SQLite database.; [http://edamontology.org/format_3621],,,FALSE,,fileFormat,,,
svg,Scalable Vector Graphics (SVG) is an XML-based vector image format for two-dimensional graphics with support for interactivity and animation.; [http://edamontology.org/format_3604],,,FALSE,,fileFormat,,,
sra,SRA archive format (SRA) is the archive format used for input to the NCBI Sequence Read Archive.; [http://edamontology.org/format_3698],,,FALSE,,fileFormat,,,
recal,.recal file from GATK VQSR; [https://software.broadinstitute.org/gatk/documentation/tooldocs/3.8-0/org_broadinstitute_gatk_tools_walkers_variantrecalibration_VariantRecalibrator.php#--recal_file],,,FALSE,,fileFormat,,,
tranches,.tranches file from GATK VQSR; [https://software.broadinstitute.org/gatk/documentation/tooldocs/3.8-0/org_broadinstitute_gatk_tools_walkers_variantrecalibration_VariantRecalibrator.php#--tranches_file],,,FALSE,,fileFormat,,,
mtx,Matrix Market Exchange Format; [https://math.nist.gov/MatrixMarket/formats.html#MMformat],,,FALSE,,fileFormat,,,
tagAlign,Tag Alignment provides genomic mapping of short sequence tags.; [https://genome.ucsc.edu/FAQ/FAQformat.html#format15],,,FALSE,,fileFormat,,,
dup,output of the Picard MarkDuplicates tool.; [https://software.broadinstitute.org/gatk/documentation/tooldocs/4.0.4.0/picard_sam_markduplicates_MarkDuplicates.php],,,FALSE,,fileFormat,,,
DICOM,"A comprehensive set of standards for communications between medical imaging devices, including handling, storing and transmitting information in medical imaging. It includes a file format definition and a network communication protocol.; [http://purl.obolibrary.org/obo/NCIT_C49059]",,,FALSE,,fileFormat,,,
czi,"microscopy imaging file format that saves multidimensional images such as time lapse, Z-stacks, multiposition experiments and virtual slides, combined with relevant meta information; [https://www.zeiss.com/microscopy/int/products/microscope-software/zen/czi.html]",,,FALSE,,fileFormat,,,
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","bash script, bedgraph, idx, idat, bam, bai, excel, powerpoint, tif, png, doc, pdf, hdf, fasta, fastq, sam, vcf, bcf, maf, bed, chp, cel, sif, tsv, csv, txt, plink, bigwig, wiggle, gct, bgzip, zip, seg, html, mov, hyperlink, svs, md, flagstat, gtf, raw, msf, rmd, bed narrowPeak, bed broadPeak, bed gappedPeak, avi, pzfx, fig, xml, tar, R script, abf, bpm, dat, jpg, locs, Sentrix descriptor file, Python script, sav, gzip, sdf, RData, hic, ab1, 7z, gff3, json, sqlite, svg, sra, recal, tranches, mtx, tagAlign, dup, DICOM, czi",,TRUE,,sageCommunity,,,
readLength,,,,TRUE,,ngs,,,
specimenID,,,,TRUE,,experimentalData,,,
libraryID,,,,TRUE,,experimentalData,,,
transposaseBatch,,,,TRUE,https://sage-bionetworks.github.io/sysbioDCCjsonschemas/releases/v0.0.4-dev/reference_definitions_schemas/new_schema_refs.json#/definitions/transposaseBatch,ATAC-seq,,,
libraryBatch,,,,TRUE,https://sage-bionetworks.github.io/sysbioDCCjsonschemas/releases/v0.0.4-dev/reference_definitions_schemas/new_schema_refs.json#/definitions/libraryBatch,ATAC-seq,,,
pcrCycles,,,,TRUE,https://sage-bionetworks.github.io/sysbioDCCjsonschemas/releases/v0.0.4-dev/reference_definitions_schemas/new_schema_refs.json#/definitions/pcrCycles,ATAC-seq,,,
sequencingBatch,,,,TRUE,https://sage-bionetworks.github.io/sysbioDCCjsonschemas/releases/v0.0.4-dev/reference_definitions_schemas/new_schema_refs.json#/definitions/sequencingBatch,ATAC-seq,,,
meanCoverage,,,,TRUE,https://sage-bionetworks.github.io/sysbioDCCjsonschemas/releases/v0.0.4-dev/reference_definitions_schemas/new_schema_refs.json#/definitions/meanCoverage,ATAC-seq,,,
meanGCContent,,,,TRUE,https://sage-bionetworks.github.io/sysbioDCCjsonschemas/releases/v0.0.4-dev/reference_definitions_schemas/new_schema_refs.json#/definitions/meanGCContent,ATAC-seq,,,
ATAC-seq,Default ATAC-seq assay for epigenomics with requirements from PsychENCODE,,,FALSE,,assay,,,
immunoAssay,Generic immunology assay,,immunoAssayType,FALSE,,assay,,,
immunoAssayType,Type of immuno assay,"ChIPseq, ATAC-seq",,TRUE,,immunoAssay,,,
ATACseq,AMP-AD ATAC-seq assay for epigenomics with requirements from PsychENCODE,,"specimenID, libraryID, platform, referenceSet, transposaseBatch, libraryBatch, libraryPreparationMethod, pcrCycles, sequencingBatch, isStranded, readStrandOrigin, readLength, runType, meanCoverage, meanGCContent",FALSE,,ATAC-seq,,,
ChIPSeq,AMP-AD ChIPseq immunology assay,,assayTarget,FALSE,,immunoAssay,,,
assayTarget,,"H3K9me3, H3K4me3, H3K4me1, H3K27ac, H3K36me3, H3K27me3, H3K9ac, REST, CTCF, input",,TRUE,,experimentalData,,,
NF,,,"fileFormat, resourceType, fundingAgency, consortium, studyId, studyName",TRUE,,,,,
studyId,The Synapse ID associated with the study (must match NF Data Portal study to be aggregated correctly).,"syn11374354,syn2343195,syn4939902,syn8016635,syn4939896,syn4939872,syn4939878,syn4939876,syn11374333,syn11374357,syn4939880,syn4939888,syn4939906,syn11374353,syn11374339,syn12051335,syn4939894,syn11374345,syn11374341,syn8016599,syn4939892,syn8012530,syn4984604,syn5610446,syn5610425,syn5714288,syn5714289,syn5714290,syn5714423,syn5698493,syn6633069,syn7217946,syn11681835,syn4939884,syn4939890,syn7217928,syn7239560,syn7217935,syn4939874,syn7239479,syn4939918,syn7231973,syn11638893,syn9727752,syn4939914,syn4939904,syn4939916,syn8016577,syn11374337,syn4939908,syn4939910,syn8012599,syn11672851,syn11817821,syn4939912,syn8016650,syn11374349,syn17098100,syn17100988,syn5562324,syn18904024,syn21641813,syn21641872,syn21641876,syn21641931,syn21641945,syn21641955,syn21642027,syn21642010,syn21641985,syn21650326,syn21650366,syn21650395,syn21650404,syn21650464,syn21650476,syn21650480,syn21650484,syn21650488,syn21650493,syn21650499,syn20613866,syn21452685",,,,,,,
